id,shield name,upgrade,attack power,stat scaling,passive effects,damage reduction (%)
0,Rickety Shield,Standard ,"{'Phy': '70 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '54 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '37 ', 'Rst': '20 '}"
1,Rickety Shield,Standard +1 ,"{'Phy': '74 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '56 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '37.74 ', 'Rst': '20 '}"
2,Rickety Shield,Standard +2 ,"{'Phy': '78 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '58 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '38.48 ', 'Rst': '20 '}"
3,Rickety Shield,Standard +3 ,"{'Phy': '82 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '60 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '39.22 ', 'Rst': '20 '}"
4,Rickety Shield,Standard +4 ,"{'Phy': '86 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '62 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '39.96 ', 'Rst': '20 '}"
5,Rickety Shield,Standard +5 ,"{'Phy': '90 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '64 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '40.7 ', 'Rst': '20 '}"
6,Rickety Shield,Standard +6 ,"{'Phy': '94 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '66 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '41.44 ', 'Rst': '20 '}"
7,Rickety Shield,Standard +7 ,"{'Phy': '98 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '69 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '42.18 ', 'Rst': '20 '}"
8,Rickety Shield,Standard +8 ,"{'Phy': '102 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '71 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '42.55 ', 'Rst': '20 '}"
9,Rickety Shield,Standard +9 ,"{'Phy': '106 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '73 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '42.92 ', 'Rst': '20 '}"
10,Rickety Shield,Standard +10 ,"{'Phy': '110 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '75 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '43.29 ', 'Rst': '20 '}"
11,Rickety Shield,Standard +11 ,"{'Phy': '114 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '77 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '43.66 ', 'Rst': '20 '}"
12,Rickety Shield,Standard +12 ,"{'Phy': '118 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '79 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '44.03 ', 'Rst': '20 '}"
13,Rickety Shield,Standard +13 ,"{'Phy': '122 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '82 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '44.4 ', 'Rst': '20 '}"
14,Rickety Shield,Standard +14 ,"{'Phy': '126 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '84 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '44.77 ', 'Rst': '20 '}"
15,Rickety Shield,Standard +15 ,"{'Phy': '130 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '86 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '45.14 ', 'Rst': '20 '}"
16,Rickety Shield,Standard +16 ,"{'Phy': '134 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '88 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '45.51 ', 'Rst': '20 '}"
17,Rickety Shield,Standard +17 ,"{'Phy': '139 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '90 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '45.88 ', 'Rst': '20 '}"
18,Rickety Shield,Standard +18 ,"{'Phy': '143 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '92 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '46.25 ', 'Rst': '20 '}"
19,Rickety Shield,Standard +19 ,"{'Phy': '147 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '95 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '46.62 ', 'Rst': '20 '}"
20,Rickety Shield,Standard +20 ,"{'Phy': '151 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '97 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '46.99 ', 'Rst': '20 '}"
21,Rickety Shield,Standard +21 ,"{'Phy': '155 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '99 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '47.36 ', 'Rst': '20 '}"
22,Rickety Shield,Standard +22 ,"{'Phy': '159 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '101 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '47.73 ', 'Rst': '20 '}"
23,Rickety Shield,Standard +23 ,"{'Phy': '163 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '103 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '48.1 ', 'Rst': '20 '}"
24,Rickety Shield,Standard +24 ,"{'Phy': '167 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '105 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '48.47 ', 'Rst': '20 '}"
25,Rickety Shield,Standard +25 ,"{'Phy': '171 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '108 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '61 ', 'Mag': '29 ', 'Fir': '24 ', 'Lit': '34 ', 'Hol': '34 ', 'Bst': '48.84 ', 'Rst': '20 '}"
