id,name,image,description,fpCost,hpCost,effect
17f698bf108l0i2rc1o532xfaytwzl,Albinauric Ashes,https://eldenring.fanapis.com/images/spirits/17f698bf108l0i2rc1o532xfaytwzl.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of two Albinaurics.,53,0,Summons two Albinauric spirits
17f69c5e05fl0i2rc2ni1ozwjqbtm,Ancestral Follower Ashes,https://eldenring.fanapis.com/images/spirits/17f69c5e05fl0i2rc2ni1ozwjqbtm.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of an ancestral follower.,63,0,Summons ancestral follower spirit
17f69857498l0i2rc3b57qyly3sydo,Archer Ashes,https://eldenring.fanapis.com/images/spirits/17f69857498l0i2rc3b57qyly3sydo.png,Ashen remains in which spirits yet dwell. Use to summon three archer spirits.,57,0,Summons three archer spirits
17f69962123l0i2rc3wxphqaa3codo,Avionette Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69962123l0i2rc3wxphqaa3codo.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two avionette soldiers. Spirits of marionette soldiers with avian features that were created to serve a sorcerer. Equipped with long-hafted scythes, they also attack from the skies by lobbing fire pots. Can sometimes malfunction when damaged.",67,0,Summon the spirits of two avionette soldiers
17f69ac4bd0l0i2rc618tsrggfp3kh,Banished Knight Oleg,https://eldenring.fanapis.com/images/spirits/17f69ac4bd0l0i2rc618tsrggfp3kh.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Oleg, the Banished Knight.",100,0,Summons Banished Knight Oleg spirit
17f69beb243l0i2rcptdnjy0wl2nxj,Demi-human Ashes,https://eldenring.fanapis.com/images/spirits/17f69beb243l0i2rcptdnjy0wl2nxj.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of five demi-humans.,69,0,Summons five demi-human spirits
17f6984b305l0i2rcqq95m4bqpnb0t,Fanged Imp Ashes,https://eldenring.fanapis.com/images/spirits/17f6984b305l0i2rcqq95m4bqpnb0t.png,Ashes remains in which spirits yet dwell. Use to summon two fanged imp spirits.,50,0,Summons two fanged imp spirits
17f69776c1dl0i2rcsqvsjrwpwre1p,Finger Maiden Therolina Puppet,https://eldenring.fanapis.com/images/spirits/17f69776c1dl0i2rcsqvsjrwpwre1p.png,One of Seluvis's puppets.,82,0,Summons spirit of Finger Maiden Therolina
17f69f4e16bl0i2rctgy4eba6y1dq,Giant Rat Ashes,https://eldenring.fanapis.com/images/spirits/17f69f4e16bl0i2rctgy4eba6y1dq.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of three giant rats.,0,0,Summons three giant rat spirits
17f6970a4e0l0i2rcxy5mhe8469uy7,Black Knife Tiche,https://eldenring.fanapis.com/images/spirits/17f6970a4e0l0i2rcxy5mhe8469uy7.png,Legendary ashen remains. Use to summon the spirit of Black Knife Tiche.,132,0,Summons spirit of Black Knife Tiche
17f69e84114l0i2rdbhn73i6cz73tm,Glintstone Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69e84114l0i2rdbhn73i6cz73tm.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of a glintstone sorcerer.,49,0,Summons glintstone sorcerer spirit
17f69d490f4l0i2rdevcj5cyogvhec,Godrick Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69d490f4l0i2rdevcj5cyogvhec.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of two of Godrick's soldiers.,54,0,Summons two Godrick soldier spirits
17f69b77adbl0i2rdg8c9ycaad36y5,Jarwight Puppet,https://eldenring.fanapis.com/images/spirits/17f69b77adbl0i2rdg8c9ycaad36y5.png,One of Seluvis' puppets. Use to summon the spirit of a jarwight.,60,0,Summons Jarwight spirit
17f69dc6c64l0i2rdkqrx6suz8t4k,Kaiden Sellsword Ashes,https://eldenring.fanapis.com/images/spirits/17f69dc6c64l0i2rdkqrx6suz8t4k.png,Ashen remains in which spirits yet dwell.Use to summon the spirit of a Kaiden sellsword.,88,0,Summons Kaiden Sellsword spirit.
17f69f56843l0i2rdofm9tav197rzq,Greatshield Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69f56843l0i2rdofm9tav197rzq.png,Ashen remains in which spirits yet dwell. Use to summon five greatshield soldier spirits.,74,0,Summons five greatshield soldier spirits
