id,weapon name,upgrade,attack power,stat scaling,passive effects,damage reduction (%)
0,Dueling Shield,Standard ,"{'Phy': '125 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '70 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '58 ', 'Rst': '20 '}"
1,Dueling Shield,Standard +1 ,"{'Phy': '132 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '72 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '58.58 ', 'Rst': '20 '}"
2,Dueling Shield,Standard +2 ,"{'Phy': '139 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '75 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '59.16 ', 'Rst': '20 '}"
3,Dueling Shield,Standard +3 ,"{'Phy': '146 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '78 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '59.74 ', 'Rst': '20 '}"
4,Dueling Shield,Standard +4 ,"{'Phy': '154 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '81 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '59.74 ', 'Rst': '20 '}"
5,Dueling Shield,Standard +5 ,"{'Phy': '161 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '84 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '60.9 ', 'Rst': '20 '}"
6,Dueling Shield,Standard +6 ,"{'Phy': '168 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '86 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '61.48 ', 'Rst': '20 '}"
7,Dueling Shield,Standard +7 ,"{'Phy': '175 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '89 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '62.06 ', 'Rst': '20 '}"
8,Dueling Shield,Standard +8 ,"{'Phy': '183 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '92 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '62.64 ', 'Rst': '20 '}"
9,Dueling Shield,Standard +9 ,"{'Phy': '190 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '95 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '63.22 ', 'Rst': '20 '}"
10,Dueling Shield,Standard +10 ,"{'Phy': '197 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '98 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '63.8 ', 'Rst': '20 '}"
11,Dueling Shield,Standard +11 ,"{'Phy': '204 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '100 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '64.38 ', 'Rst': '20 '}"
12,Dueling Shield,Standard +12 ,"{'Phy': '212 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '103 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '64.96 ', 'Rst': '20 '}"
13,Dueling Shield,Standard +13 ,"{'Phy': '219 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '106 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '65.54 ', 'Rst': '20 '}"
